ship_code,ship1,ship2,remarks,source_url
49CI,49CI,KIGI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49VF,49VF,KII,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KV,49KV,KII MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
ESKR,ESKR,KIIR,ESTONIAN MARINE INSPECTION,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KZ,49KZ,KIJI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
905F,905F,KIK-8,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49L3,49L3,KIKU MARU,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49K8,49K8,KIKUCHI,callSign JPBA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
33KL,33KL,KILA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
09KI,09KI,KIMBLA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31K6,31K6,KING,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
32K3,32K3,KING OSCAR,(TUNA BOAT),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KI,31KI,KINGFISH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
09KB,09KB,KINGFISH B,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KP,31KP,KINGSPORT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
315K,315K,KINGSTON F/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
32K2,32K2,KINKAID,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
745E,745E,KINLOSS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
57KN,57KN,KINO,callSign HP7296,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49ZD,49ZD,KINSEI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
06KR,06KR,KIRA,(DKPO)  09/16/1996,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KC,49KC,KIRI,callSign 5BHF,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
3197,3197,KIRK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
58KI,58KI,KIRKHOLMEN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
745G,745G,KIRKLISTON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KC,31KC,KIRKPATRICK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
3289,3289,KISKA,AE-35,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KS,49KS,KISO,callSign JEBY,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
41KI,41KI,KISTNA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KJ,31KJ,KIT JONES,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49IM,49IM,KITAKAMI,callSign JECU,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49IA,49IA,KITAKAMI-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49PV,49PV,KITAURA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
33KW,33KW,KITTIWAKE,R/V,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
32KH,32KH,KITTY HAWK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
26KI,26KI,KIVOK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49OY,49OY,KIYO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KH,90KH,KIZHI,USWH,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
329A,329A,KLAKRING,FFG-42,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KL,31KL,KLAMATH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
86KL,86KL,KLEDKEO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
26KL,26KL,KLINTHOLM HAVN C/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90BB,90BB,KLINTSY,callSign UTRZ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
32KN,32KN,KNAPP,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
74KT,74KT,KNIGHT ERRANT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
316N,316N,KNORR,callSign KCEJ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
3166,3166,KNOX,DE 1052,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
24TP,24TP,KO JAE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
26KO,26KO,KOBENHAVN C/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
062J,062J,KOBLENZ,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
492K,492K,KOCHI,1979-1980,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KT,49KT,KOCHI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
CYKC,CYKC,KOCHNEV,P3QT3  BUILT 198905,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
492F,492F,KOEI MARU NO. 30,(JFHR),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
061Q,061Q,KOELN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
06KB,06KB,KOELN ATLANTIC,DAKE,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
SIKE,SIKE,KOELN EXPRESS,(9VBL)  08/13/1996,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
313K,313K,KOELSCH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KF,49KF,KOFU MARU,8JNZ LLOYD'S # 5406118,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
492C,492C,KOFU MARU,8JNZ LLOYD'S # 5406118,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KP,49KP,KOGOSAKI GUARD POINT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49D9,49D9,KOHOKU NO.16,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49L5,49L5,KOHOKU NO.16,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49L4,49L4,KOHOKU NO.18,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49OO,49OO,KOHO-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49DN,49DN,KOHSHO MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31K1,31K1,KOINER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
491V,491V,KOJIMA,(8LYS),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
34KO,34KO,KOKAR F/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
18KM,18KM,KOKI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
GHKO,GHKO,KOKOTE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
909A,909A,KOKSHAISK,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90CJ,90CJ,KOKSHAYSK,callSign UJJS,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
33KK,33KK,KOKUA,WTW9250,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
907L,907L,KOLGUYEV,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
902I,902I,KOLIMA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
06KO,06KO,KOLMAR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
903S,903S,KOLPIN,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KH,49KH,KOMAHASHI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
06KM,06KM,KOMET,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
9057,9057,KOMETA GALLEYA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
906I,906I,KOMMUNAR,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
67KO,67KO,KOMPAS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KP,90KP,KOMPAS,callSign HP4649,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
58KH,58KH,KONG HAAKON VII,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KN,49KN,KONGOZAN-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
64KJ,64KJ,KONINGIN JULIANA,callSign PFKS,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
41KO,41KO,KONKAN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90WX,90WX,KONOPUS,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90D7,90D7,KONSTANTIN BOLDYREV,ICES REQUEST 08Mar63 to 31May86 RadioCallSign UHRM,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
062C,062C,KONSTANZ,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90Q1,90Q1,KONTAKT,ICES REQUEST 25Feb57 to 19Sep63 RadioCallSign UVSP,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KO,90KO,KONTUR,callSign UNCY,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
0920,0920,KOOKABURRA,SWVJ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
09KO,09KO,KOOLIGA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
18KN,18KN,KOOTENAY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
67KP,67KP,KOPERNIK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
9059,9059,KORABLESTROITEL,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
322F,322F,KOREAN FIR,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
32KM,32KM,KOREAN MAIL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
322P,322P,KOREAN PRIDE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
909C,909C,KORENOVSK,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KF,90KF,KORIFENA,UBCV,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KW,90KW,KORIFEY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35KO,35KO,KORNOG,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35KR,35KR,KOROTNEFF,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35KG,35KG,KORRIGAN,FNJT,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
09KR,09KR,KORRINGA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
641J,641J,KORTENAER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
11KK,11KK,KORTRIJK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49BP,49BP,KORYO NO. 5,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49RU,49RU,KORYU MARU NO. 15,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49CS,49CS,KOSHI MARU,callSign JK4803,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KJ,49KJ,KOSHIJI MARU,callSign JJAE,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KQ,49KQ,KOSHIKI,callSign 8LCP,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49UY,49UY,KOSHU MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90EU,90EU,KOSMICHESKY,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49U5,49U5,KOSYU,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KX,49KX,KOTAKA MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49XA,49XA,KOTOBUKI MARU NO.10,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
61KO,61KO,KOTUKU,callSign ZMKP,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90ZP,90ZP,KOVALEROVO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
902J,902J,KOVALEVSKY,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90Q2,90Q2,KOVDA,ICES REQUEST   03May51 to 30Jul52,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
491J,491J,KOYO,callSign JL5341,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49CY,49CY,KOYO-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49IO,49IO,KOYOSHI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49E8,49E8,KOYOSHI NO.2,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KL,49KL,KOZU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
67KR,67KR,KRA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KR,90KR,KRASIN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KM,90KM,KRASNOARMEYETS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90CL,90CL,KRASNOPEREKOPSK,callSign UWNZ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
904V,904V,KRASNY VIMPEL,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KK,90KK,KRASNYI KASPII,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KT,90KT,KRASNYI RYBAK,OCL request; OCL code 7646,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90CM,90CM,KRASNYY,callSign EXER,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
9058,9058,KRATER,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KM,31KM,KRETCHMER,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90EO,90EO,KREVETKA,OCL,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90UR,90UR,KRILJON,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
58KR,58KR,KRILL,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90Q3,90Q3,KRISTALL,ICES REQUEST 04Jan59 to 20Aug76 RadioCallSign UVSR,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
906J,906J,KRISTYAN RAUD,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
909D,909D,KRUKOVO,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KU,90KU,KRUZENSHTERN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
903P,903P,KRYM,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90KB,90KB,KRYMSKIYE GORY,(UJOB)  1964,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
76P3,76P3,KU YU 401,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49UC,49UC,KUDAKA,callSign 8KTZ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49XT,49XT,KUJI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KK,31KK,KUKUI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
905A,905A,KULIKOVO POLE,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49AU,49AU,KUMA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
908R,908R,KUMACHEVO,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49N6,49N6,KUMAMOTO,OCL REQUEST 03/1985 to 02/1999,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
MLKU,MLKU,KUNCETTA,FISHING BOAT; OCL 7675,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
91KU,91KU,KUNENE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
09KG,09KG,KUNGHARMARIS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49GJ,49GJ,KUNIGAMI,callSign JLLB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49BV,49BV,KUNIKAGAMI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49D8,49D8,KUREHA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49ZA,49ZA,KUROBE,callSign JPFK,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49IR,49IR,KUROKAMI-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90Q4,90Q4,KURORT,ICES REQUEST  01Sep33 to 07Oct34,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49XV,49XV,KUROSHIO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KR,49KR,KUROSHIO MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49PS,49PS,KURUSHIMA MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KO,49KO,KUSHI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
324K,324K,KUSI,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49GK,49GK,KUWANO,callSign JJGD,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KU,49KU,KUZURYU,callSign JPWJ,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
90YF,90YF,KVADRANT,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
RUKV,RUKV,KVANT,ESTP,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
906A,906A,KVANT,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
58KB,58KB,KVITBJOERN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
76AE,76AE,KWANG TA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
24TQ,24TQ,KWANGU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
06KY,06KY,KYBFELS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
24AJ,24AJ,KYERIM HO,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KY,31KY,KYMA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KE,49KE,KYOEI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49Y1,49Y1,KYO-MARU NO 1,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49YX,49YX,KYO-MARU NO 10,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49Y6,49Y6,KYO-MARU NO 6,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49Y7,49Y7,KYO-MARU NO 7,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49Y8,49Y8,KYO-MARU NO 8,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
24AB,24AB,KYONGBUK 853,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
24KY,24KY,KYONGBUK 885,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
24K8,24K8,KYONGNAM,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49KY,49KY,KYOSEI-MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49K9,49K9,KYOSHO MARU NO. 3,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49RR,49RR,KYOSYOU MARU No. 3,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35KY,35KY,KYOWA CATTLEYA,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35KH,35KH,KYOWA HIBISCUS,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
49L6,49L6,KYOYO NO.2,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
26KY,26KY,KYSTHOSPITALET C/S,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
353R,353R,L ESCARMOUCHE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
353T,353T,L OPINIATRE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35CT,35CT,L. D. EDOUARD,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
48MR,48MR,L. F. MARSILI,callSign IKNA,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31LM,31LM,L. F. MASON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
74BY,74BY,L. H. BARDSEY,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31HJ,31HJ,L. HANCOCK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31LW,31LW,L. K. SWENSON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
32N2,32N2,L. MARGARET,(TUNA BOAT),https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31KQ,31KQ,L. MCCORMICK,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
31T9,31T9,L. THOMAS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
314E,314E,L. WILSON,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
35A5,35A5,L`AGILE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
354E,354E,L`'ELORN,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
08LA,08LA,LA ARGENTINA,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
354B,354B,LA BOURDONAIS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
353M,353M,LA BOURGOGNE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/311-shipcode4
