ship_code,ship1,ship2,remarks,source_url
499A,499A,AGS NO 9,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
66AF,66AF,AGUSTINA II,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
18HC,18HC,AHIC,1945-47,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
326A,326A,AHRENS,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
491B,491B,AICHI MARU,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
35AI,35AI,AILETTE,callSign FUZB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
32AH,32AH,AINWORTH,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
49RH,49RH,AIOI MARU No. 5,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
2691,2691,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
4991,4991,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
6691,6691,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
7491,7491,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
1891,1891,AIRCRAFT,callSign VP407,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
3491,3491,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
ZZ91,ZZ91,AIRCRAFT,OCL REQUEST,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
3191,3191,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
9191,9191,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
5891,5891,AIRCRAFT,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
35AA,35AA,AIRPLANE,F-OCSB,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
90AI,90AI,AISBERG,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
492I,492I,AISEI MARU,1964,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
49I5,49I5,AISEI MARU NO.5,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
74AI,74AI,AISNE,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
09X5,09X5,AJAX,,https://www.calcofi.info/index.php/field-work/calcofi-ships/unols-ship-codes/308-shipcode1
