ship_nodc,ship_name,remarks,source_url
AGQ4,ASC Lotti,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
492U,"ASU-85
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06AE,Aade,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74D0,Aalskere,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
64TC,Aalsmeergracht,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
MHZG,Aamira,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
BNAB,Abadi,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90AX,"Abakan
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
20AI,Abate Molina,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31O9,Abbot,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
742Y,Abdiel,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
315P,Abel-J,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
BHHM,Aberdeen,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31IY,Ability,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90JQ,"Abkhazetz
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90AW,"Abkhaziya
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33V3,Able II,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AQ,Abnaki,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
641E,"Abraham Crijnssen
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33AL,Abraham Lincoln,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
909Z,"Abrek
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AZ,Absecon,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
49AB,Abukuma,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
49QA,Abukuma,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
09O6,Aburri,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18AI,Acadia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18DQ,Acadia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18DU,Acadia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
321N,Acadia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33SZ,Acadiana,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
321B,Acania,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
29AC,Acartia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
318I,Acartia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74AH,"Acheron
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
1831,Achiever,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
64AC,"Achilles
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
744R,Achilles,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
907S,"Achilles
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
GHAC,"Achimota
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
314A,Acme,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AC,"Acona
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
352Q,"Aconit
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06CX,"Act 10
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
TNAA,"Act 12
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74AJ,Act 3,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74AQ,Act 4,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74AS,Act 6,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
BHAC,Act-10,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
68VO,Actinia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
74JD,Actinia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
3134,Active,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
745A,Active,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
58AK,"Active King
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
18AC,"Active Pass
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
31AU,Acushnet,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
PAAR,"Ada
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
CYY5,Adam Asnyk,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
33WY,Adam E. Cornelius,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
3253,"Adams
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
SADD,Addiriyah,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
09AD,Adelaide,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
36A1,"Adelais
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
58AL,Adeler,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90B1,"Adelgunda
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
748N,Adenia,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
90UQ,"Adjaria
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
903E,"Adler
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
06JA,Adlergrund,NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
354T,"Administrateur Thomas
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
32A1,"Admirable
            DEPRECATED",NA,https://www.nodc.noaa.gov/OC5/WOD/CODES/s_3_platform.html
