,net_lat,net_lon,gebco_lat,gebco_lon,ctd_depth,gebco_depth
49128,2.05,-104.086666,15.293750000000003,-104.23958333333333,,3027
49129,0.688333,-85.103333,15.293750000000003,-104.23958333333333,,3027
49130,10.023333,-109.148333,15.293750000000003,-109.14791666666667,,4080
49131,6.3,-142.166666,15.293750000000003,-136.58125,,4873
49132,7.341666,-124.136666,15.293750000000003,-124.13541666666666,,4390
49133,4.338333,-83.08,15.293750000000003,-104.23958333333333,,3027
49134,4.171666,-93.433333,15.293750000000003,-104.23958333333333,,3027
49135,10.591666,-124.116666,15.293750000000003,-124.11458333333334,,4399
49136,8.7,-111.211666,15.293750000000003,-111.21041666666667,,3261
49137,7.801666,-101.98,15.293750000000003,-104.23958333333333,,3027
49138,4.243333,-125.431666,15.293750000000003,-125.43125,,4407
49139,3.466666,-112.418333,15.293750000000003,-112.41875,,3719
49140,1.941666,-95.586666,15.293750000000003,-104.23958333333333,,3027
49141,11.866666,-142.5,15.293750000000003,-136.58125,,4873
49142,1.883333,-128.678333,15.293750000000003,-128.67708333333334,,4916
49143,12.516666,-92.498333,15.293750000000003,-104.23958333333333,,3027
49144,10.013333,-90.04,15.293750000000003,-104.23958333333333,,3027
49145,5.531666,-100.531666,15.293750000000003,-104.23958333333333,,3027
49146,5.061666,-85.805,15.293750000000003,-104.23958333333333,,3027
49147,6.648333,-95.038333,15.293750000000003,-104.23958333333333,,3027
49148,12.133333,-119.433333,15.293750000000003,-119.43125,,4224
49149,13.791666,-92.296666,15.293750000000003,-104.23958333333333,,3027
49150,5.266666,-83.91,15.293750000000003,-104.23958333333333,,3027
49151,1.223333,-117.953333,15.293750000000003,-117.95208333333333,,3979
49152,7.22,-86.516666,15.293750000000003,-104.23958333333333,,3027
49153,4.683333,-80.116666,15.293750000000003,-104.23958333333333,,3027
49154,12.461666,-119.258333,15.293750000000003,-119.25625,,4052
49155,3.58,-83.01,15.293750000000003,-104.23958333333333,,3027
49156,2.066666,-113.233333,15.293750000000003,-113.23125,,3774
49157,1.373333,-102.838333,15.293750000000003,-104.23958333333333,,3027
49158,1.243333,-108.38,15.293750000000003,-108.38125,,3792
49159,9.028333,-98.848333,15.293750000000003,-104.23958333333333,,3027
49160,11.853333,-116.261666,15.293750000000003,-116.26041666666666,,3939
49161,5.216666,-104.5,15.293750000000003,-104.50208333333333,,3365
49162,9.286666,-121.336666,15.293750000000003,-121.33541666666667,,4208
49163,1.63,-105.986666,15.293750000000003,-105.98541666666667,,3393
49164,7.151666,-87.945,15.293750000000003,-104.23958333333333,,3027
49165,3.4,-93.516666,15.293750000000003,-104.23958333333333,,3027
49166,31.323333,-123.743333,31.32291666666667,-123.74375,4013.0,3999
49167,30.516666,-122.256666,30.514583333333334,-122.25625,4159.0,4182
49168,32.205,-118.888333,32.20625,-118.88958333333333,1280.0,1288
49169,32.205,-118.888333,32.20625,-118.88958333333333,1280.0,1288
49170,32.956666,-117.305,32.95625,-117.30625,59.0,96
49171,33.89,-118.49,33.889583333333334,-118.48958333333334,55.0,75
49172,30.751666,-123.333333,30.75208333333333,-123.33125000000001,3986.0,4029
49173,33.155,-120.008333,33.15625,-120.00625,1195.0,1201
49174,34.15,-121.15,34.14791666666666,-121.15208333333334,2212.0,2244
49175,33.418333,-117.903333,33.41875,-117.90208333333334,611.0,616
49176,33.418333,-117.903333,33.41875,-117.90208333333334,611.0,616
49177,33.155,-120.008333,33.15625,-120.00625,1195.0,1201
49178,33.418333,-117.903333,33.41875,-117.90208333333334,611.0,616
49179,29.848333,-123.588333,29.847916666666663,-123.58958333333334,4032.0,4081
49180,33.418333,-117.903333,33.41875,-117.90208333333334,611.0,616
49181,32.956666,-117.305,32.95625,-117.30625,59.0,96
49182,32.846666,-117.53,32.84791666666666,-117.53125,853.0,854
49183,31.18,-120.92,31.18124999999999,-120.91875,3875.0,3911
49184,34.226666,-119.411666,34.227083333333326,-119.41041666666666,35.0,42
49185,32.655,-121.033333,32.65625,-121.03125,3777.0,3814
49186,33.878333,-120.133333,33.87708333333333,-120.13125,90.0,130
49187,35.088333,-120.778333,35.08958333333334,-120.77708333333334,69.0,76
49188,35.088333,-120.778333,35.08958333333334,-120.77708333333334,68.0,76
49189,33.578333,-120.753333,33.577083333333334,-120.75208333333333,1497.0,1386
49190,33.491666,-119.318333,33.48958333333333,-119.31875,1638.0,1647
49191,32.345,-118.556666,32.34375,-118.55625,1438.0,1422
49192,32.345,-118.556666,32.34375,-118.55625,1438.0,1422
49193,30.428333,-124.0,30.42708333333333,-124.00208333333333,4235.0,4205
49194,30.428333,-124.0,30.42708333333333,-124.00208333333333,4235.0,4205
49195,33.673333,-118.94,33.672916666666666,-118.93958333333333,896.0,901
49196,30.183333,-122.923333,30.18124999999999,-122.92291666666667,3386.0,3943
49197,32.91,-122.128333,32.91041666666666,-122.12708333333333,4179.0,4194
49198,30.183333,-122.923333,30.18124999999999,-122.92291666666667,3386.0,3943
49199,30.183333,-122.923333,30.18124999999999,-122.92291666666667,3386.0,3943
49200,30.183333,-122.923333,30.18124999999999,-122.92291666666667,3386.0,3943
49201,32.011666,-119.235,32.01041666666667,-119.23541666666667,1596.0,1593
49202,35.088333,-120.778333,35.08958333333334,-120.77708333333334,69.0,76
49203,34.226666,-119.411666,34.227083333333326,-119.41041666666666,35.0,42
49204,34.226666,-119.411666,34.227083333333326,-119.41041666666666,35.0,42
49205,33.185,-118.386666,33.18541666666667,-118.38541666666666,1174.0,1180
49206,34.316666,-120.806666,34.31458333333333,-120.80625,762.0,811
49207,32.085,-120.638333,32.08541666666666,-120.63958333333333,3814.0,3827
49208,30.85,-121.593333,30.852083333333326,-121.59375,4119.0,4122
49209,32.913333,-117.395,32.914583333333326,-117.39375000000001,631.0,639
49210,34.721666,-121.548333,34.72291666666666,-121.54791666666667,911.0,928
49211,31.086666,-122.658333,31.08541666666666,-122.65625,3950.0,4034
49212,31.086666,-122.658333,31.08541666666666,-122.65625,3950.0,4034
49213,32.651666,-119.481666,32.65208333333334,-119.48125,1314.0,1318
49214,34.283333,-120.033333,34.28125,-120.03125,572.0,584
49215,32.678333,-117.873333,32.67708333333333,-117.87291666666667,579.0,610
49216,32.913333,-117.395,32.914583333333326,-117.39375000000001,631.0,639
49217,32.085,-120.638333,32.08541666666666,-120.63958333333333,3814.0,3827
49218,35.088333,-120.778333,35.08958333333334,-120.77708333333334,68.0,76
49219,32.58,-122.81,32.58125,-122.81041666666667,3491.0,4282
49220,31.851666,-119.576666,31.852083333333326,-119.57708333333333,1839.0,2120
49221,31.42,-121.988333,31.418750000000003,-121.98958333333334,3882.0,3869
49222,34.226666,-119.411666,34.227083333333326,-119.41041666666666,35.0,42
49223,33.486666,-117.768333,33.485416666666666,-117.76875000000001,62.0,74
49224,32.511666,-118.211666,32.51041666666667,-118.21041666666667,1602.0,1672
49225,32.323333,-121.711666,32.32291666666667,-121.71041666666667,4058.0,4033
49226,31.525,-120.243333,31.52291666666666,-120.24375,3926.0,3940
