cast_no,cast_id,ncdepth,nodepths
214,20-1708SR-MX-225-12:50-07670900,107.142861,16
215,20-1708SR-MX-226-00:13-07670700,29.531259,16
216,20-1708SR-MX-226-06:20-07670600,23.183522,16
217,20-1708SR-MX-226-10:18-07670550,11.114286,16
218,20-1708SR-MX-226-13:45-07670510,2,16
219,20-1708SR-MX-227-04:12-08000550,11.261062,16
220,20-1708SR-MX-227-08:16-08000510,4.400015,10
221,20-1708SR-MX-227-10:13-08000505,2,5
222,20-1708SR-MX-227-19:04-08170435,10,4
223,20-1708SR-MX-227-21:25-08330420,25.103452,14
224,20-1708SR-MX-227-23:55-08330406,16.099295,6
225,20-1708SR-MX-228-01:34-08330394,10,4
226,20-1708SR-MX-228-04:49-08540358,10,4
227,20-1708SR-PR-214-18:44-09330450,29.343284,17
228,20-1708SR-PR-215-18:07-09330800,65.83335,17
229,20-1708SR-PR-216-17:55-09001200,115.634245,18
230,20-1708SR-PR-217-18:19-09000800,43.875,17
231,20-1708SR-PR-218-16:57-09000450,48.867925,20
232,20-1708SR-PR-219-17:29-08670330,26.074272,10
233,20-1708SR-PR-220-16:27-08670600,43.802281,16
234,20-1708SR-PR-221-16:50-08671000,64.718755,19
235,20-1708SR-PR-222-15:51-08330900,86.17699399999999,19
236,20-1708SR-PR-223-17:04-08330510,2,13
237,20-1708SR-PR-224-18:38-08000900,111.790136,18
238,20-1708SR-PR-225-18:36-07670800,38.221243,18
239,20-1708SR-PR-226-16:20-07670490,2,11
240,20-1708SR-PR-227-15:18-08180469,6.783334,18
241,20-1711SR-MX-313-20:58-09340264,11,4
242,20-1711SR-MX-313-23:27-09170264,12,4
243,20-1711SR-MX-314-02:00-09330280,27.29927,16
244,20-1711SR-MX-314-05:31-09330300,24.950498,16
245,20-1711SR-MX-314-09:32-09330350,36.050505,16
246,20-1711SR-MX-314-13:47-09330400,30.938567,16
247,20-1711SR-MX-314-22:07-09330500,36.633803,16
248,20-1711SR-MX-315-02:17-09330550,56.944444,16
249,20-1711SR-MX-315-06:53-09330600,41.299441,14
250,20-1711SR-MX-315-12:53-09330700,64.75757900000001,16
251,20-1711SR-MX-316-00:35-09330900,87.556425,16
252,20-1711SR-MX-316-06:20-09331000,85.06452899999999,16
253,20-1711SR-MX-316-12:12-09331100,86.71171200000001,16
254,20-1711SR-MX-316-23:50-09001200,76.852357,15
255,20-1711SR-MX-317-05:45-09001100,112.157895,16
256,20-1711SR-MX-317-11:45-09001000,68.25,17
257,20-1711SR-MX-317-23:46-09000800,68.080656,16
258,20-1711SR-MX-318-05:54-09000700,68.806286,14
259,20-1711SR-MX-318-12:12-09000600,53.137255,16
260,20-1711SR-MX-319-02:06-09000370,21.468429,16
261,20-1711SR-MX-319-05:36-09000350,26.134973,15
262,20-1711SR-MX-319-09:50-09000300,16.321839,16
263,20-1711SR-MX-319-14:33-09000277,5.93361,6
264,20-1711SR-MX-319-19:07-08850301,11,4
265,20-1711SR-MX-319-22:57-08680325,4.619473,5
266,20-1711SR-MX-319-23:41-08670330,15.360465,6
267,20-1711SR-MX-320-01:53-08670350,23.55872,16
268,20-1711SR-MX-320-05:55-08540358,11.576857,6
269,20-1711SR-MX-320-08:42-08670400,28.130081,15
270,20-1711SR-MX-320-13:21-08670450,12.702703,15
271,20-1711SR-MX-320-21:17-08670550,52.116175,15
272,20-1711SR-MX-321-03:21-08330550,3.333333,16
273,20-1711SR-MX-321-07:26-08330510,29.268315,10
274,20-1711SR-MX-321-13:25-08330420,13.173657,11
275,20-1711SR-MX-321-16:01-08330394,15,5
276,20-1711SR-MX-321-20:43-08170435,15,5
277,20-1711SR-MX-321-22:45-08180469,13.103178,14
278,20-1711SR-MX-322-03:42-08000505,2,6
279,20-1711SR-MX-322-04:37-08000510,2,9
280,20-1711SR-MX-322-10:26-08000600,46.145255,13
281,20-1711SR-MX-322-22:44-08000800,67.590008,15
282,20-1711SR-MX-323-04:55-08000900,27.462687,16
283,20-1711SR-MX-323-11:08-08001000,78.565224,17
284,20-1711SR-MX-323-22:49-07670900,41.552846,16
285,20-1711SR-MX-324-04:16-07670800,44.132231,16
286,20-1711SR-MX-324-10:07-07670700,30.890585,16
287,20-1711SR-MX-324-19:34-07670550,42.503268,16
288,20-1711SR-MX-324-23:13-07670510,14.369179,15
289,20-1711SR-MX-325-01:44-07670490,2,8
290,20-1711SR-MX-325-07:09-08000550,30.940734,17
291,20-1711SR-MX-325-13:43-08330600,41.419355,16
292,20-1711SR-MX-326-01:47-08330800,72.7193,16
293,20-1711SR-MX-326-07:12-08330900,91.241135,16
294,20-1711SR-MX-326-12:39-08331000,86.168318,16
295,20-1711SR-MX-326-23:42-08671100,101.093023,15
296,20-1711SR-MX-327-05:16-08671000,67.13834199999999,15
297,20-1711SR-MX-327-11:08-08670900,70.387102,16
298,20-1711SR-MX-327-22:23-08670700,87.294134,16
299,20-1711SR-MX-328-04:27-08670600,31.584786,15
300,20-1711SR-PR-313-19:19-09330267,25.255183,8
301,20-1711SR-PR-314-18:00-09330450,30.419355,19
302,20-1711SR-PR-315-18:55-09330800,58.477666,18
303,20-1711SR-PR-316-18:10-09331200,100.369372,18
304,20-1711SR-PR-317-18:00-09000900,59.937009,17
305,20-1711SR-PR-318-17:36-09000530,61.184618,17
306,20-1711SR-PR-319-16:52-09000280,16.103213,9
307,20-1711SR-PR-320-17:43-08670500,33.353989,10
308,20-1711SR-PR-321-17:31-08330406,11.538463,6
309,20-1711SR-PR-322-17:47-08000700,56.786177,16
310,20-1711SR-PR-323-17:26-07671000,36.218393,17
311,20-1711SR-PR-324-16:50-07670600,45.344541,18
312,20-1711SR-PR-325-19:42-08330700,90.535212,18
313,20-1711SR-PR-326-18:20-08331100,81.465969,18
314,20-1711SR-PR-327-16:51-08670800,108.375005,19
315,20-18025S-MX-032-22:06-09330300,33.676471,16
316,20-18025S-MX-033-03:39-09000280,23.906252,10
317,20-18025S-MX-033-06:16-09000300,32.118451,16
318,20-18025S-MX-033-10:11-09000350,40,16
319,20-18025S-MX-033-13:01-09000370,47.750006,16
320,20-18025S-MX-033-18:16-09000450,31.879699,16
321,20-18025S-MX-033-23:23-09000530,42.678571,15
322,20-18025S-MX-034-03:52-09000600,41.770834,16
323,20-18025S-MX-034-09:12-09000700,94.75,16
324,20-18025S-MX-034-14:41-09000800,83.919718,16
325,20-18025S-MX-034-20:22-09000900,85.909091,16
326,20-18025S-MX-035-01:40-09001000,95.601507,15
327,20-18025S-MX-035-07:02-08671000,109.73236,14
328,20-18025S-MX-035-12:22-08670900,94.34463700000001,16
329,20-18025S-MX-035-17:50-08670800,80.752076,16
330,20-18025S-MX-035-23:20-08670700,64.56621,16
331,20-18025S-MX-036-04:50-08670600,44.108535,16
332,20-18025S-MX-036-08:52-08670550,61.781252,16
333,20-18025S-MX-036-12:57-08670500,30.997733,9
334,20-18025S-MX-036-16:15-08670450,30.883838,16
335,20-18025S-MX-036-20:32-08670400,32.949853,16
336,20-18025S-MX-037-00:35-08670350,24.310347,16
337,20-18025S-MX-037-03:20-08670330,21.077505,8
338,20-18025S-MX-037-09:02-08330406,13.660714,6
339,20-18025S-MX-037-10:49-08330420,26.451617,11
340,20-18025S-MX-037-14:48-08180469,23.267975,16
341,20-18025S-MX-037-20:08-08330510,15.319152,10
342,20-18025S-MX-037-22:59-08330550,43.10811,15
343,20-18025S-MX-038-03:11-08330600,51.978022,15
